               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069778,            0.035023,                   0,             0.83287,             0.69978,             0.76871,             0.38543,            0.043246,            0.021641,                   0,            0.070072,           0.0033254,           0.0033254
                   1,            0.046582,             0.02702,                   0,              0.8724,             0.77493,             0.84981,             0.47376,            0.037716,            0.019491,                   0,            0.040065,           0.0066521,           0.0066521
                   2,            0.041741,            0.025571,                   0,             0.86967,             0.76585,             0.83631,             0.50785,            0.035028,            0.019775,                   0,            0.010052,           0.0099723,           0.0099723
                   3,            0.036495,            0.024943,                   0,             0.88061,              0.7861,             0.85722,             0.51972,            0.033016,            0.019137,                   0,           0.0099703,           0.0099703,           0.0099703
                   4,             0.03393,            0.024191,                   0,             0.88453,             0.77946,             0.85566,             0.52819,            0.032531,            0.019231,                   0,           0.0099703,           0.0099703,           0.0099703
                   5,            0.032733,            0.023894,                   0,             0.88047,              0.8046,             0.87049,             0.54289,            0.031596,            0.018491,                   0,           0.0099604,           0.0099604,           0.0099604
                   6,            0.031916,            0.023304,                   0,             0.88888,              0.7928,             0.86603,             0.54685,            0.031511,            0.018906,                   0,           0.0099505,           0.0099505,           0.0099505
                   7,            0.031362,            0.023312,                   0,             0.88084,             0.80244,             0.87151,             0.55326,            0.030881,            0.018361,                   0,           0.0099406,           0.0099406,           0.0099406
                   8,             0.03131,            0.023433,                   0,             0.87424,             0.81697,             0.87875,             0.55844,            0.030883,            0.018304,                   0,           0.0099307,           0.0099307,           0.0099307
                   9,            0.030774,            0.023047,                   0,             0.88538,             0.80377,             0.87806,             0.56142,            0.030659,            0.018367,                   0,           0.0099208,           0.0099208,           0.0099208
                  10,            0.030724,            0.022978,                   0,             0.87938,             0.80344,             0.87243,             0.55801,             0.03064,            0.018438,                   0,           0.0099109,           0.0099109,           0.0099109
                  11,            0.030317,            0.022231,                   0,             0.90022,             0.79998,             0.88043,             0.56374,            0.030393,            0.018073,                   0,            0.009901,            0.009901,            0.009901
                  12,            0.030197,            0.022456,                   0,             0.88826,             0.81794,              0.8853,             0.57064,            0.029916,            0.017816,                   0,           0.0098911,           0.0098911,           0.0098911
                  13,             0.02975,            0.022109,                   0,             0.90067,              0.8109,              0.8842,             0.56886,            0.030097,            0.018028,                   0,           0.0098812,           0.0098812,           0.0098812
                  14,            0.029902,            0.022525,                   0,             0.88502,             0.81614,              0.8828,             0.56938,            0.029976,            0.018143,                   0,           0.0098713,           0.0098713,           0.0098713
                  15,            0.029644,            0.022338,                   0,             0.88493,             0.81513,              0.8823,             0.57222,            0.029975,            0.017974,                   0,           0.0098614,           0.0098614,           0.0098614
                  16,            0.029654,            0.022164,                   0,             0.89846,              0.8093,             0.88388,             0.57328,            0.029817,            0.017974,                   0,           0.0098515,           0.0098515,           0.0098515
