               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048905,            0.052441,                   0,              0.8509,              0.7176,             0.78049,             0.30892,            0.048722,            0.023023,                   0,            0.067079,          0.00033254,          0.00033254
                   1,            0.047339,            0.051109,                   0,             0.86152,              0.7557,             0.82348,             0.38801,            0.042713,            0.021513,                   0,            0.034078,          0.00066521,          0.00066521
                   2,            0.047067,            0.050814,                   0,             0.87128,             0.75114,             0.81983,             0.37763,            0.042459,            0.020897,                   0,           0.0010768,          0.00099723,          0.00099723
                   3,            0.046246,            0.050516,                   0,             0.86901,               0.764,             0.83161,             0.41576,            0.039408,            0.022301,                   0,          0.00099703,          0.00099703,          0.00099703
                   4,            0.045799,            0.049378,                   0,             0.86616,             0.77318,              0.8372,             0.46496,            0.037171,            0.020353,                   0,          0.00099703,          0.00099703,          0.00099703
                   5,             0.04517,            0.048705,                   0,             0.86099,             0.77493,             0.84274,              0.4766,             0.03582,            0.020735,                   0,          0.00099604,          0.00099604,          0.00099604
                   6,            0.044756,            0.048906,                   0,             0.86598,             0.77299,             0.84258,             0.47802,            0.036308,            0.020151,                   0,          0.00099505,          0.00099505,          0.00099505
                   7,            0.044646,            0.048494,                   0,             0.86745,             0.78309,             0.84547,             0.45826,             0.03724,            0.020253,                   0,          0.00099406,          0.00099406,          0.00099406
                   8,             0.04458,            0.048531,                   0,             0.86636,             0.76143,             0.82873,              0.4255,            0.039097,            0.020781,                   0,          0.00099307,          0.00099307,          0.00099307
                   9,            0.044128,            0.048654,                   0,             0.88503,             0.78221,             0.85327,             0.46304,            0.037026,            0.020086,                   0,          0.00099208,          0.00099208,          0.00099208
                  10,            0.044065,            0.048692,                   0,             0.87667,              0.7827,              0.8506,             0.46597,            0.036746,            0.019762,                   0,          0.00099109,          0.00099109,          0.00099109
                  11,            0.043898,            0.048207,                   0,             0.87304,             0.77813,             0.84828,             0.45376,            0.037452,            0.020195,                   0,           0.0009901,           0.0009901,           0.0009901
                  12,             0.04405,            0.048374,                   0,             0.85901,             0.79348,             0.84765,             0.44495,            0.037782,             0.02008,                   0,          0.00098911,          0.00098911,          0.00098911
                  13,            0.043671,            0.048178,                   0,             0.87576,             0.78678,             0.85332,              0.4646,            0.036281,            0.019894,                   0,          0.00098812,          0.00098812,          0.00098812
                  14,            0.043456,            0.047514,                   0,             0.86191,             0.77753,             0.83681,             0.40815,            0.040568,             0.02066,                   0,          0.00098713,          0.00098713,          0.00098713
                  15,            0.043314,            0.047622,                   0,             0.86521,             0.79714,             0.85073,             0.46254,            0.036338,            0.019759,                   0,          0.00098614,          0.00098614,          0.00098614
                  16,            0.043754,            0.047779,                   0,             0.86882,             0.79503,             0.85318,             0.44349,            0.037581,            0.020475,                   0,          0.00098515,          0.00098515,          0.00098515
                  17,            0.043505,             0.04765,                   0,              0.8799,             0.79243,             0.85935,             0.48513,            0.034992,            0.019499,                   0,          0.00098416,          0.00098416,          0.00098416
                  18,            0.043748,            0.048117,                   0,             0.86888,             0.79588,             0.85299,             0.46104,            0.036802,            0.019733,                   0,          0.00098317,          0.00098317,          0.00098317
                  19,            0.043222,            0.048052,                   0,             0.86972,             0.79537,             0.85099,             0.47534,            0.035549,            0.019888,                   0,          0.00098218,          0.00098218,          0.00098218
                  20,            0.043262,             0.04745,                   0,             0.87006,             0.79384,             0.85173,             0.44487,            0.038388,            0.019933,                   0,          0.00098119,          0.00098119,          0.00098119
                  21,            0.043336,            0.047847,                   0,             0.86861,             0.78425,             0.85025,             0.45014,            0.037617,            0.020283,                   0,           0.0009802,           0.0009802,           0.0009802
                  22,            0.043458,            0.047743,                   0,             0.87339,             0.79697,             0.85887,             0.46645,             0.03633,            0.019914,                   0,          0.00097921,          0.00097921,          0.00097921
                  23,            0.042779,            0.046811,                   0,             0.87543,             0.79804,             0.86128,             0.48327,            0.035354,            0.019456,                   0,          0.00097822,          0.00097822,          0.00097822
                  24,            0.043188,            0.047458,                   0,             0.87317,             0.80056,             0.85892,              0.4729,            0.035888,            0.019656,                   0,          0.00097723,          0.00097723,          0.00097723
                  25,            0.042786,            0.047397,                   0,             0.86116,             0.80561,             0.85988,             0.46712,            0.036452,            0.019748,                   0,          0.00097624,          0.00097624,          0.00097624
                  26,            0.042972,            0.047544,                   0,             0.87771,             0.80377,             0.86788,             0.49512,            0.034406,            0.019286,                   0,          0.00097525,          0.00097525,          0.00097525
                  27,             0.04289,            0.047415,                   0,             0.87864,             0.79707,             0.86153,             0.47436,            0.035722,            0.019658,                   0,          0.00097426,          0.00097426,          0.00097426
                  28,            0.043024,            0.047253,                   0,             0.88162,             0.80341,             0.87025,              0.4917,            0.035003,            0.019238,                   0,          0.00097327,          0.00097327,          0.00097327
                  29,            0.042796,            0.047493,                   0,             0.88223,             0.80156,             0.86594,             0.47109,            0.036048,            0.019263,                   0,          0.00097228,          0.00097228,          0.00097228
                  30,            0.042708,            0.047498,                   0,              0.8779,             0.80445,             0.86781,             0.48765,            0.035092,            0.019232,                   0,          0.00097129,          0.00097129,          0.00097129
                  31,            0.042646,            0.047053,                   0,             0.88296,             0.80027,             0.86773,             0.48824,            0.035166,            0.019069,                   0,           0.0009703,           0.0009703,           0.0009703
                  32,            0.042691,             0.04663,                   0,             0.87832,             0.80785,             0.86879,             0.48757,            0.035073,             0.01913,                   0,          0.00096931,          0.00096931,          0.00096931
                  33,            0.042478,            0.046829,                   0,             0.88128,             0.80655,             0.86921,             0.49733,            0.034469,            0.018949,                   0,          0.00096832,          0.00096832,          0.00096832
                  34,            0.042465,            0.046913,                   0,             0.88171,             0.80478,             0.86768,             0.49869,            0.034323,            0.018893,                   0,          0.00096733,          0.00096733,          0.00096733
                  35,            0.042573,            0.047225,                   0,             0.88444,             0.80474,             0.87035,              0.4884,            0.035034,            0.019138,                   0,          0.00096634,          0.00096634,          0.00096634
                  36,            0.042414,            0.046927,                   0,             0.87932,             0.80901,             0.86987,              0.4952,            0.034547,            0.018964,                   0,          0.00096535,          0.00096535,          0.00096535
                  37,            0.042676,            0.047093,                   0,             0.88287,             0.80697,             0.86916,             0.49737,            0.034391,            0.019012,                   0,          0.00096436,          0.00096436,          0.00096436
                  38,            0.042668,            0.047032,                   0,             0.87987,             0.80988,             0.87249,              0.4847,            0.035277,            0.019124,                   0,          0.00096337,          0.00096337,          0.00096337
                  39,            0.042708,            0.047109,                   0,             0.88633,             0.80326,             0.87162,             0.48901,            0.034874,             0.01906,                   0,          0.00096238,          0.00096238,          0.00096238
                  40,            0.042635,            0.046745,                   0,             0.88349,             0.80474,             0.87182,             0.49915,            0.034077,            0.019067,                   0,          0.00096139,          0.00096139,          0.00096139
                  41,            0.042289,            0.047257,                   0,              0.8838,              0.8026,              0.8708,             0.49709,             0.03441,            0.019024,                   0,           0.0009604,           0.0009604,           0.0009604
                  42,            0.042366,             0.04777,                   0,             0.88616,             0.80532,             0.87334,             0.49895,            0.034328,            0.018947,                   0,          0.00095941,          0.00095941,          0.00095941
                  43,            0.042437,            0.047147,                   0,             0.88469,             0.80381,              0.8745,             0.49472,            0.034718,            0.018974,                   0,          0.00095842,          0.00095842,          0.00095842
                  44,            0.042327,            0.046845,                   0,             0.88232,             0.80755,             0.87443,              0.5038,            0.034035,            0.018862,                   0,          0.00095743,          0.00095743,          0.00095743
                  45,            0.042256,            0.046577,                   0,             0.88303,             0.80853,             0.87366,              0.4963,            0.034598,            0.018886,                   0,          0.00095644,          0.00095644,          0.00095644
                  46,            0.042243,            0.046793,                   0,             0.87929,             0.81561,             0.87657,             0.49841,            0.034333,            0.018894,                   0,          0.00095545,          0.00095545,          0.00095545
                  47,            0.042243,            0.046738,                   0,              0.8887,             0.80484,             0.87538,             0.49695,            0.034385,            0.018807,                   0,          0.00095446,          0.00095446,          0.00095446
