               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046547,             0.03184,                   0,             0.84034,             0.61339,             0.67229,             0.37827,            0.042013,            0.027623,                   0,            0.070037,           0.0033293,           0.0033293
                   1,            0.045212,            0.030251,                   0,             0.83699,             0.61616,             0.67646,             0.38027,            0.041823,            0.027495,                   0,             0.04003,            0.006656,            0.006656
                   2,             0.04506,            0.030208,                   0,             0.83206,             0.61558,             0.67254,             0.36865,            0.042434,            0.028348,                   0,            0.010017,           0.0099761,           0.0099761
                   3,            0.045272,            0.030767,                   0,             0.84188,             0.61379,             0.67693,             0.37319,            0.042733,            0.028048,                   0,           0.0099703,           0.0099703,           0.0099703
                   4,            0.045336,            0.031075,                   0,             0.83787,             0.62855,             0.69003,              0.3786,            0.042134,            0.027893,                   0,           0.0099703,           0.0099703,           0.0099703
                   5,            0.045091,            0.030669,                   0,             0.84268,             0.62833,             0.69003,             0.37576,            0.041875,            0.027779,                   0,           0.0099604,           0.0099604,           0.0099604
                   6,            0.044973,            0.030817,                   0,             0.84305,             0.64059,             0.70149,             0.38641,            0.041644,            0.027698,                   0,           0.0099505,           0.0099505,           0.0099505
                   7,            0.044667,            0.030998,                   0,             0.84453,             0.63583,             0.69882,             0.38643,             0.04166,            0.027636,                   0,           0.0099406,           0.0099406,           0.0099406
                   8,             0.04424,             0.03032,                   0,             0.83862,             0.64264,              0.7024,             0.38949,             0.04141,            0.027655,                   0,           0.0099307,           0.0099307,           0.0099307
                   9,            0.044255,            0.030394,                   0,             0.84804,             0.64835,               0.709,             0.39386,            0.040957,            0.027419,                   0,           0.0099208,           0.0099208,           0.0099208
                  10,            0.044527,            0.030487,                   0,             0.85215,              0.6445,             0.70715,             0.39415,            0.041084,            0.027408,                   0,           0.0099109,           0.0099109,           0.0099109
                  11,            0.044307,            0.030835,                   0,             0.84923,             0.65148,             0.71286,             0.39737,            0.040807,            0.027442,                   0,            0.009901,            0.009901,            0.009901
                  12,            0.044269,            0.030714,                   0,             0.84848,             0.65083,             0.71304,             0.39796,            0.040722,            0.027352,                   0,           0.0098911,           0.0098911,           0.0098911
                  13,            0.044105,            0.030706,                   0,             0.85137,             0.65107,             0.71343,             0.39754,            0.040608,            0.027286,                   0,           0.0098812,           0.0098812,           0.0098812
                  14,            0.043955,            0.030458,                   0,             0.85225,             0.65436,             0.71841,             0.40245,            0.040362,            0.027154,                   0,           0.0098713,           0.0098713,           0.0098713
                  15,            0.043538,            0.030318,                   0,             0.85033,             0.65518,             0.71801,             0.40242,            0.040313,            0.027277,                   0,           0.0098614,           0.0098614,           0.0098614
                  16,            0.043754,            0.030754,                   0,             0.84926,             0.66223,             0.72384,             0.40551,            0.040159,            0.027126,                   0,           0.0098515,           0.0098515,           0.0098515
                  17,            0.043922,            0.030583,                   0,             0.84702,             0.66431,               0.723,             0.40651,            0.040109,            0.027013,                   0,           0.0098416,           0.0098416,           0.0098416
                  18,            0.043523,            0.030491,                   0,             0.85611,             0.66338,              0.7278,             0.40918,            0.039963,            0.026976,                   0,           0.0098317,           0.0098317,           0.0098317
                  19,            0.043865,            0.030172,                   0,             0.85176,             0.66647,             0.72719,              0.4086,            0.039872,            0.026976,                   0,           0.0098218,           0.0098218,           0.0098218
                  20,            0.043401,            0.030071,                   0,             0.85052,             0.66771,             0.72929,             0.41037,             0.03978,            0.026907,                   0,           0.0098119,           0.0098119,           0.0098119
                  21,            0.043453,            0.030218,                   0,             0.85185,             0.66882,             0.72957,             0.41165,            0.039669,            0.026855,                   0,            0.009802,            0.009802,            0.009802
                  22,            0.043242,            0.029948,                   0,             0.84715,             0.67213,             0.73247,             0.41419,            0.039563,            0.026806,                   0,           0.0097921,           0.0097921,           0.0097921
                  23,             0.04385,            0.030654,                   0,              0.8547,             0.67235,             0.73426,             0.41381,            0.039528,            0.026785,                   0,           0.0097822,           0.0097822,           0.0097822
