               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056181,            0.024209,                   0,             0.93382,             0.84218,             0.90495,             0.50984,            0.027155,            0.014262,                   0,            0.070024,           0.0033306,           0.0033306
                   1,            0.037274,            0.017127,                   0,             0.94189,             0.87768,             0.93501,             0.58467,            0.023289,            0.013052,                   0,            0.040018,           0.0066574,           0.0066574
                   2,            0.033653,            0.016601,                   0,             0.94553,             0.87226,             0.93165,             0.59833,            0.022546,            0.012993,                   0,            0.010004,           0.0099775,           0.0099775
                   3,            0.031195,            0.016173,                   0,             0.94912,             0.88311,             0.93899,             0.61401,             0.02182,            0.012578,                   0,           0.0099703,           0.0099703,           0.0099703
                   4,            0.029825,            0.015825,                   0,             0.94824,             0.88952,             0.94314,             0.61541,            0.021838,            0.012498,                   0,           0.0099703,           0.0099703,           0.0099703
                   5,            0.029186,            0.015533,                   0,             0.94822,             0.89285,             0.94577,             0.62404,            0.021218,            0.012422,                   0,           0.0099604,           0.0099604,           0.0099604
                   6,            0.028652,             0.01522,                   0,             0.95227,             0.89392,             0.94673,             0.62914,            0.021056,            0.012267,                   0,           0.0099505,           0.0099505,           0.0099505
                   7,            0.028416,            0.015303,                   0,             0.94899,             0.89865,             0.94973,             0.63291,            0.020931,            0.012151,                   0,           0.0099406,           0.0099406,           0.0099406
                   8,            0.028262,            0.015219,                   0,             0.95378,             0.89587,             0.94981,             0.63662,             0.02068,            0.012128,                   0,           0.0099307,           0.0099307,           0.0099307
                   9,            0.028058,            0.015046,                   0,             0.95296,             0.89884,             0.95064,             0.63981,            0.020504,            0.012087,                   0,           0.0099208,           0.0099208,           0.0099208
                  10,            0.027917,            0.015084,                   0,             0.94821,             0.90483,             0.95307,             0.64327,            0.020509,            0.011974,                   0,           0.0099109,           0.0099109,           0.0099109
                  11,            0.027736,             0.01508,                   0,             0.95207,             0.90372,             0.95368,             0.64529,            0.020409,            0.011993,                   0,            0.009901,            0.009901,            0.009901
                  12,            0.027671,            0.014926,                   0,              0.9546,             0.90404,             0.95511,             0.64603,            0.020304,            0.011913,                   0,           0.0098911,           0.0098911,           0.0098911
                  13,            0.027473,            0.014848,                   0,             0.95013,             0.90546,             0.95477,             0.64816,             0.02024,            0.011926,                   0,           0.0098812,           0.0098812,           0.0098812
                  14,            0.027458,            0.014951,                   0,             0.95113,             0.90858,             0.95551,             0.64799,            0.020197,            0.011907,                   0,           0.0098713,           0.0098713,           0.0098713
                  15,            0.027483,            0.015092,                   0,             0.94964,             0.90896,             0.95594,             0.64943,            0.020157,            0.011891,                   0,           0.0098614,           0.0098614,           0.0098614
                  16,            0.027247,            0.014769,                   0,             0.95312,             0.90777,             0.95646,             0.65171,            0.020156,            0.011842,                   0,           0.0098515,           0.0098515,           0.0098515
                  17,            0.027092,            0.014768,                   0,             0.95438,             0.90938,             0.95699,             0.65126,             0.02007,            0.011852,                   0,           0.0098416,           0.0098416,           0.0098416
                  18,             0.02713,             0.01465,                   0,             0.94761,             0.91544,             0.95766,             0.65183,            0.020086,            0.011839,                   0,           0.0098317,           0.0098317,           0.0098317
                  19,            0.027038,            0.014618,                   0,             0.95285,             0.91091,             0.95761,             0.65292,            0.020068,            0.011846,                   0,           0.0098218,           0.0098218,           0.0098218
                  20,            0.027059,            0.014708,                   0,             0.95225,             0.91302,             0.95753,             0.65275,            0.020035,            0.011823,                   0,           0.0098119,           0.0098119,           0.0098119
                  21,            0.027046,             0.01468,                   0,              0.9514,             0.91475,             0.95858,             0.65364,             0.02001,            0.011825,                   0,            0.009802,            0.009802,            0.009802
                  22,            0.026831,             0.01461,                   0,              0.9518,             0.91345,             0.95838,             0.65343,            0.020011,            0.011832,                   0,           0.0097921,           0.0097921,           0.0097921
