               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089553,            0.027336,                   0,             0.27699,             0.39477,              0.2641,            0.086121,            0.050188,            0.022639,                   0,            0.066727,          3.3306e-05,          3.3306e-05
                   1,            0.062984,            0.022423,                   0,             0.85017,             0.65291,             0.74062,             0.35143,             0.03777,            0.014611,                   0,            0.033427,           6.658e-05,           6.658e-05
                   2,            0.053221,             0.01823,                   0,             0.89819,             0.75057,              0.8309,             0.42816,            0.032936,            0.012704,                   0,          0.00012665,          9.9793e-05,          9.9793e-05
                   3,            0.047632,            0.016636,                   0,             0.91388,              0.7955,             0.86414,             0.46355,            0.030151,            0.011736,                   0,           9.973e-05,           9.973e-05,           9.973e-05
                   4,            0.044832,             0.01578,                   0,             0.91985,             0.81252,             0.87873,             0.48396,             0.02865,            0.011149,                   0,           9.973e-05,           9.973e-05,           9.973e-05
                   5,            0.042873,            0.015237,                   0,             0.92242,             0.82212,             0.88894,              0.5037,            0.027559,            0.010732,                   0,           9.964e-05,           9.964e-05,           9.964e-05
                   6,            0.041608,            0.014728,                   0,             0.92727,             0.82875,             0.89462,             0.51155,            0.026849,            0.010496,                   0,           9.955e-05,           9.955e-05,           9.955e-05
                   7,            0.040517,            0.014488,                   0,              0.9257,             0.83641,             0.89974,             0.52135,             0.02626,            0.010287,                   0,           9.946e-05,           9.946e-05,           9.946e-05
                   8,            0.039688,            0.014055,                   0,             0.92982,             0.83901,             0.90326,             0.52933,            0.025763,            0.010131,                   0,           9.937e-05,           9.937e-05,           9.937e-05
                   9,            0.039098,            0.013955,                   0,             0.93064,             0.84416,             0.90747,             0.53645,            0.025372,           0.0099899,                   0,           9.928e-05,           9.928e-05,           9.928e-05
                  10,            0.038332,            0.013785,                   0,             0.93454,             0.84464,             0.91035,             0.54152,            0.025051,           0.0098953,                   0,           9.919e-05,           9.919e-05,           9.919e-05
                  11,            0.037927,            0.013712,                   0,             0.93496,              0.8478,             0.91325,              0.5476,            0.024741,           0.0097964,                   0,            9.91e-05,            9.91e-05,            9.91e-05
                  12,            0.037125,            0.013547,                   0,             0.93852,             0.84889,             0.91525,              0.5518,            0.024497,           0.0097142,                   0,           9.901e-05,           9.901e-05,           9.901e-05
                  13,            0.036875,            0.013297,                   0,             0.93666,             0.85249,             0.91642,             0.55497,            0.024302,           0.0096452,                   0,           9.892e-05,           9.892e-05,           9.892e-05
                  14,            0.036605,             0.01319,                   0,             0.93474,             0.85433,              0.9177,             0.55904,            0.024106,           0.0095883,                   0,           9.883e-05,           9.883e-05,           9.883e-05
                  15,             0.03622,            0.013147,                   0,             0.93488,             0.85783,             0.91926,             0.56307,            0.023904,           0.0095246,                   0,           9.874e-05,           9.874e-05,           9.874e-05
                  16,            0.035941,            0.013149,                   0,             0.93605,             0.85841,             0.92088,              0.5661,            0.023747,           0.0094711,                   0,           9.865e-05,           9.865e-05,           9.865e-05
                  17,            0.035568,            0.013015,                   0,             0.93628,             0.86053,             0.92241,              0.5683,            0.023624,           0.0094279,                   0,           9.856e-05,           9.856e-05,           9.856e-05
                  18,            0.035353,            0.012917,                   0,             0.93769,             0.86133,             0.92365,             0.57146,            0.023488,           0.0093881,                   0,           9.847e-05,           9.847e-05,           9.847e-05
                  19,            0.035122,            0.012837,                   0,             0.93684,             0.86379,             0.92448,             0.57386,            0.023374,           0.0093515,                   0,           9.838e-05,           9.838e-05,           9.838e-05
                  20,            0.034853,             0.01273,                   0,             0.93851,             0.86399,             0.92541,             0.57586,            0.023277,           0.0093209,                   0,           9.829e-05,           9.829e-05,           9.829e-05
                  21,             0.03456,            0.012574,                   0,             0.93862,             0.86455,             0.92606,             0.57775,            0.023199,           0.0092927,                   0,            9.82e-05,            9.82e-05,            9.82e-05
                  22,            0.034412,            0.012638,                   0,             0.93793,             0.86618,             0.92676,             0.57948,             0.02311,           0.0092674,                   0,           9.811e-05,           9.811e-05,           9.811e-05
                  23,            0.034153,            0.012595,                   0,             0.93862,             0.86722,             0.92753,               0.581,            0.023037,           0.0092424,                   0,           9.802e-05,           9.802e-05,           9.802e-05
                  24,            0.034028,            0.012585,                   0,             0.93812,               0.868,             0.92807,              0.5824,            0.022973,           0.0092212,                   0,           9.793e-05,           9.793e-05,           9.793e-05
                  25,            0.033723,            0.012442,                   0,             0.93851,              0.8688,             0.92815,             0.58376,            0.022912,           0.0092012,                   0,           9.784e-05,           9.784e-05,           9.784e-05
                  26,            0.033768,            0.012501,                   0,             0.93904,             0.86992,             0.92892,             0.58511,            0.022856,           0.0091842,                   0,           9.775e-05,           9.775e-05,           9.775e-05
                  27,            0.033576,            0.012427,                   0,             0.93951,             0.87008,             0.92927,             0.58599,            0.022807,           0.0091693,                   0,           9.766e-05,           9.766e-05,           9.766e-05
                  28,            0.033264,             0.01231,                   0,             0.94008,             0.87115,             0.92976,             0.58676,            0.022761,           0.0091551,                   0,           9.757e-05,           9.757e-05,           9.757e-05
                  29,             0.03333,            0.012319,                   0,             0.94033,             0.87164,             0.93022,             0.58771,            0.022718,           0.0091408,                   0,           9.748e-05,           9.748e-05,           9.748e-05
                  30,            0.033247,            0.012392,                   0,             0.94033,             0.87264,             0.93047,              0.5885,            0.022676,           0.0091265,                   0,           9.739e-05,           9.739e-05,           9.739e-05
                  31,            0.033103,            0.012253,                   0,             0.94055,             0.87239,             0.93087,              0.5893,            0.022638,           0.0091131,                   0,            9.73e-05,            9.73e-05,            9.73e-05
                  32,             0.03302,            0.012269,                   0,             0.93871,             0.87425,             0.93128,             0.59037,            0.022602,           0.0091005,                   0,           9.721e-05,           9.721e-05,           9.721e-05
                  33,            0.032782,            0.012119,                   0,             0.93947,             0.87429,             0.93165,             0.59133,            0.022566,           0.0090866,                   0,           9.712e-05,           9.712e-05,           9.712e-05
