               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049806,            0.020803,                   0,             0.90763,             0.77823,             0.84745,             0.42401,            0.033667,            0.015989,                   0,            0.066727,          3.3306e-05,          3.3306e-05
                   1,            0.037577,             0.01685,                   0,             0.93068,              0.8531,             0.91138,             0.53997,            0.025268,            0.014314,                   0,            0.033427,          6.6574e-05,          6.6574e-05
                   2,            0.033692,            0.015803,                   0,             0.93976,             0.86947,             0.92737,             0.57713,            0.023374,             0.01337,                   0,          0.00012664,          9.9775e-05,          9.9775e-05
                   3,            0.031883,            0.015139,                   0,              0.9443,             0.88025,             0.93589,              0.5959,            0.022748,            0.012842,                   0,          9.9703e-05,          9.9703e-05,          9.9703e-05
                   4,            0.030723,            0.014897,                   0,             0.94605,             0.88621,             0.94096,             0.60413,            0.021963,            0.012628,                   0,          9.9703e-05,          9.9703e-05,          9.9703e-05
                   5,            0.029922,            0.014548,                   0,             0.95005,             0.88778,             0.94317,             0.61077,            0.021754,            0.012522,                   0,          9.9604e-05,          9.9604e-05,          9.9604e-05
                   6,            0.029239,            0.014305,                   0,              0.9461,             0.89354,             0.94497,             0.61672,            0.021489,            0.012396,                   0,          9.9505e-05,          9.9505e-05,          9.9505e-05
                   7,             0.02887,            0.014276,                   0,             0.94499,             0.89609,             0.94603,             0.62027,            0.021278,            0.012375,                   0,          9.9406e-05,          9.9406e-05,          9.9406e-05
                   8,            0.028489,            0.014148,                   0,             0.95247,             0.89288,              0.9482,             0.62719,             0.02106,            0.012271,                   0,          9.9307e-05,          9.9307e-05,          9.9307e-05
                   9,            0.028202,            0.013915,                   0,             0.95318,             0.89358,             0.94964,             0.62835,            0.021057,            0.012262,                   0,          9.9208e-05,          9.9208e-05,          9.9208e-05
                  10,            0.027958,             0.01393,                   0,             0.95294,             0.89935,             0.95108,             0.63401,            0.020865,            0.012143,                   0,          9.9109e-05,          9.9109e-05,          9.9109e-05
                  11,            0.027817,            0.013965,                   0,             0.95241,             0.89915,             0.95218,             0.63601,            0.020775,            0.012093,                   0,           9.901e-05,           9.901e-05,           9.901e-05
                  12,            0.027624,            0.013794,                   0,             0.95323,              0.9013,              0.9531,             0.63698,            0.020699,            0.012057,                   0,          9.8911e-05,          9.8911e-05,          9.8911e-05
                  13,            0.027308,            0.013679,                   0,             0.95075,             0.90295,             0.95353,             0.63924,            0.020636,            0.012045,                   0,          9.8812e-05,          9.8812e-05,          9.8812e-05
                  14,            0.027181,            0.013731,                   0,             0.94993,             0.90451,             0.95389,             0.63996,            0.020616,            0.011999,                   0,          9.8713e-05,          9.8713e-05,          9.8713e-05
                  15,            0.027218,            0.013845,                   0,             0.94956,             0.90557,             0.95423,             0.64167,            0.020537,            0.011999,                   0,          9.8614e-05,          9.8614e-05,          9.8614e-05
                  16,            0.026927,             0.01349,                   0,             0.95306,             0.90565,             0.95563,             0.64344,            0.020465,            0.011952,                   0,          9.8515e-05,          9.8515e-05,          9.8515e-05
                  17,            0.026759,            0.013495,                   0,             0.95137,             0.90796,             0.95572,             0.64422,            0.020426,            0.011947,                   0,          9.8416e-05,          9.8416e-05,          9.8416e-05
                  18,            0.026686,             0.01333,                   0,             0.94908,             0.90938,             0.95598,             0.64405,            0.020452,            0.011959,                   0,          9.8317e-05,          9.8317e-05,          9.8317e-05
