               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049944,            0.020924,                   0,             0.90587,             0.77923,             0.83618,             0.38898,            0.033519,            0.016683,                   0,            0.066727,          3.3306e-05,          3.3306e-05
                   1,            0.037462,            0.016897,                   0,             0.93174,             0.85064,             0.91096,             0.53783,             0.02511,            0.014439,                   0,            0.033427,          6.6574e-05,          6.6574e-05
                   2,              0.0338,            0.015823,                   0,              0.9472,             0.86956,             0.93065,             0.57972,            0.023662,            0.013419,                   0,          0.00012664,          9.9775e-05,          9.9775e-05
                   3,            0.031972,            0.015162,                   0,             0.94289,             0.87911,             0.93279,             0.59581,            0.022774,            0.012893,                   0,          9.9703e-05,          9.9703e-05,          9.9703e-05
                   4,            0.030778,            0.014882,                   0,             0.94564,             0.88692,             0.94009,             0.60418,            0.021877,            0.012583,                   0,          9.9703e-05,          9.9703e-05,          9.9703e-05
                   5,            0.029994,            0.014533,                   0,             0.94748,             0.88993,             0.94205,              0.6113,            0.021794,            0.012494,                   0,          9.9604e-05,          9.9604e-05,          9.9604e-05
                   6,            0.029289,            0.014271,                   0,              0.9513,             0.89179,             0.94378,             0.61638,            0.021565,            0.012368,                   0,          9.9505e-05,          9.9505e-05,          9.9505e-05
                   7,            0.028896,            0.014248,                   0,             0.94822,             0.89372,             0.94548,             0.61864,            0.021351,            0.012394,                   0,          9.9406e-05,          9.9406e-05,          9.9406e-05
                   8,            0.028471,            0.014098,                   0,             0.94907,             0.89732,             0.94849,             0.62653,            0.021029,            0.012228,                   0,          9.9307e-05,          9.9307e-05,          9.9307e-05
                   9,            0.028182,            0.013855,                   0,             0.95185,             0.89762,             0.94946,             0.62755,            0.021007,             0.01217,                   0,          9.9208e-05,          9.9208e-05,          9.9208e-05
                  10,            0.027925,            0.013842,                   0,             0.95348,             0.89813,             0.95019,             0.63206,            0.020988,            0.012178,                   0,          9.9109e-05,          9.9109e-05,          9.9109e-05
                  11,            0.027762,            0.013898,                   0,             0.95267,             0.89912,             0.95139,             0.63495,            0.020847,            0.012148,                   0,           9.901e-05,           9.901e-05,           9.901e-05
                  12,            0.027554,            0.013706,                   0,             0.95186,             0.90047,             0.95217,             0.63689,            0.020789,            0.012081,                   0,          9.8911e-05,          9.8911e-05,          9.8911e-05
                  13,            0.027213,            0.013577,                   0,             0.95346,             0.90301,             0.95261,             0.63896,            0.020728,            0.012084,                   0,          9.8812e-05,          9.8812e-05,          9.8812e-05
                  14,            0.027096,            0.013618,                   0,             0.95272,             0.90465,             0.95369,             0.63965,            0.020704,            0.012049,                   0,          9.8713e-05,          9.8713e-05,          9.8713e-05
                  15,            0.027088,            0.013751,                   0,             0.95287,              0.9029,             0.95389,              0.6414,            0.020595,            0.012016,                   0,          9.8614e-05,          9.8614e-05,          9.8614e-05
                  16,            0.026778,            0.013381,                   0,             0.95329,             0.90538,             0.95504,             0.64327,            0.020535,             0.01197,                   0,          9.8515e-05,          9.8515e-05,          9.8515e-05
                  17,             0.02659,             0.01336,                   0,             0.95328,             0.90527,             0.95534,             0.64321,            0.020542,            0.011983,                   0,          9.8416e-05,          9.8416e-05,          9.8416e-05
                  18,             0.02651,              0.0132,                   0,             0.95426,             0.90584,             0.95607,             0.64337,            0.020517,            0.011969,                   0,          9.8317e-05,          9.8317e-05,          9.8317e-05
                  19,            0.026259,            0.013163,                   0,             0.95389,             0.90688,             0.95632,              0.6441,             0.02051,            0.011959,                   0,          9.8218e-05,          9.8218e-05,          9.8218e-05
                  20,            0.026255,            0.013186,                   0,             0.95236,             0.90806,             0.95646,              0.6446,              0.0205,             0.01194,                   0,          9.8119e-05,          9.8119e-05,          9.8119e-05
                  21,            0.026174,            0.013203,                   0,             0.95259,             0.90745,             0.95646,             0.64501,             0.02047,            0.011928,                   0,           9.802e-05,           9.802e-05,           9.802e-05
                  22,            0.025898,            0.013097,                   0,             0.95349,             0.90749,             0.95673,             0.64497,             0.02047,            0.011936,                   0,          9.7921e-05,          9.7921e-05,          9.7921e-05
                  23,            0.025903,            0.013077,                   0,             0.95518,             0.90612,             0.95661,             0.64535,            0.020463,            0.011925,                   0,          9.7822e-05,          9.7822e-05,          9.7822e-05
                  24,            0.025835,            0.013125,                   0,             0.95509,              0.9065,             0.95704,             0.64559,            0.020454,            0.011923,                   0,          9.7723e-05,          9.7723e-05,          9.7723e-05
                  25,            0.025634,            0.012888,                   0,              0.9537,             0.90792,             0.95727,             0.64612,            0.020434,            0.011919,                   0,          9.7624e-05,          9.7624e-05,          9.7624e-05
                  26,            0.025685,            0.013023,                   0,             0.95332,             0.90811,             0.95735,             0.64681,            0.020418,            0.011915,                   0,          9.7525e-05,          9.7525e-05,          9.7525e-05
                  27,            0.025499,            0.012943,                   0,             0.95339,              0.9093,             0.95775,             0.64703,            0.020402,             0.01191,                   0,          9.7426e-05,          9.7426e-05,          9.7426e-05
                  28,            0.025499,            0.012864,                   0,             0.95371,             0.90938,             0.95771,             0.64754,            0.020398,            0.011907,                   0,          9.7327e-05,          9.7327e-05,          9.7327e-05
                  29,            0.025393,            0.012896,                   0,             0.95382,             0.90976,             0.95786,             0.64782,            0.020388,              0.0119,                   0,          9.7228e-05,          9.7228e-05,          9.7228e-05
                  30,            0.025256,            0.012947,                   0,             0.95364,             0.90971,              0.9581,             0.64793,            0.020385,            0.011901,                   0,          9.7129e-05,          9.7129e-05,          9.7129e-05
                  31,            0.025264,            0.012784,                   0,               0.954,             0.90981,             0.95817,             0.64819,            0.020377,            0.011901,                   0,           9.703e-05,           9.703e-05,           9.703e-05
                  32,            0.025217,            0.012767,                   0,             0.95401,             0.91005,             0.95827,             0.64873,            0.020369,            0.011901,                   0,          9.6931e-05,          9.6931e-05,          9.6931e-05
                  33,            0.025119,            0.012838,                   0,             0.95477,             0.90943,             0.95829,             0.64901,            0.020362,            0.011899,                   0,          9.6832e-05,          9.6832e-05,          9.6832e-05
                  34,            0.024942,             0.01265,                   0,             0.95458,                0.91,              0.9588,              0.6493,            0.020357,              0.0119,                   0,          9.6733e-05,          9.6733e-05,          9.6733e-05
                  35,            0.024967,            0.012687,                   0,             0.95383,             0.91023,             0.95885,             0.64967,            0.020349,            0.011899,                   0,          9.6634e-05,          9.6634e-05,          9.6634e-05
                  36,            0.024926,            0.012601,                   0,              0.9537,             0.91083,             0.95887,             0.64968,             0.02034,              0.0119,                   0,          9.6535e-05,          9.6535e-05,          9.6535e-05
                  37,            0.024787,            0.012682,                   0,             0.95341,             0.91071,             0.95887,             0.65035,            0.020331,            0.011901,                   0,          9.6436e-05,          9.6436e-05,          9.6436e-05
                  38,            0.024641,            0.012543,                   0,             0.95377,             0.91136,             0.95887,             0.65034,             0.02032,            0.011902,                   0,          9.6337e-05,          9.6337e-05,          9.6337e-05
                  39,             0.02471,            0.012674,                   0,             0.95428,             0.91107,             0.95875,              0.6507,            0.020313,            0.011904,                   0,          9.6238e-05,          9.6238e-05,          9.6238e-05
                  40,            0.024592,            0.012461,                   0,             0.95496,             0.91055,             0.95874,             0.65081,            0.020306,            0.011906,                   0,          9.6139e-05,          9.6139e-05,          9.6139e-05
                  41,              0.0245,            0.012435,                   0,             0.95412,             0.91177,             0.95884,             0.65118,            0.020299,            0.011908,                   0,           9.604e-05,           9.604e-05,           9.604e-05
                  42,            0.024537,            0.012537,                   0,             0.95428,             0.91165,             0.95871,             0.65111,            0.020296,            0.011911,                   0,          9.5941e-05,          9.5941e-05,          9.5941e-05
                  43,            0.024478,             0.01246,                   0,             0.95396,             0.91208,             0.95883,             0.65135,            0.020293,            0.011915,                   0,          9.5842e-05,          9.5842e-05,          9.5842e-05
                  44,            0.024424,            0.012447,                   0,             0.95391,             0.91235,             0.95892,             0.65164,            0.020289,            0.011918,                   0,          9.5743e-05,          9.5743e-05,          9.5743e-05
                  45,             0.02428,            0.012336,                   0,             0.95392,             0.91213,             0.95895,             0.65171,            0.020286,            0.011923,                   0,          9.5644e-05,          9.5644e-05,          9.5644e-05
                  46,            0.024331,            0.012362,                   0,             0.95376,              0.9125,             0.95909,             0.65201,            0.020282,            0.011926,                   0,          9.5545e-05,          9.5545e-05,          9.5545e-05
                  47,            0.024197,            0.012239,                   0,             0.95428,              0.9118,             0.95898,             0.65205,             0.02028,            0.011929,                   0,          9.5446e-05,          9.5446e-05,          9.5446e-05
                  48,            0.024073,            0.012284,                   0,             0.95438,             0.91165,             0.95898,             0.65208,            0.020279,            0.011934,                   0,          9.5347e-05,          9.5347e-05,          9.5347e-05
                  49,            0.024067,            0.012336,                   0,             0.95384,             0.91165,             0.95892,             0.65224,            0.020282,            0.011938,                   0,          9.5248e-05,          9.5248e-05,          9.5248e-05
                  50,            0.024068,            0.012267,                   0,             0.95411,             0.91144,             0.95908,             0.65233,            0.020281,            0.011943,                   0,          9.5149e-05,          9.5149e-05,          9.5149e-05
                  51,            0.023986,            0.012221,                   0,             0.95399,             0.91208,             0.95912,             0.65244,            0.020279,            0.011948,                   0,           9.505e-05,           9.505e-05,           9.505e-05
                  52,            0.023969,            0.012268,                   0,             0.95348,             0.91215,             0.95895,             0.65266,            0.020274,            0.011951,                   0,          9.4951e-05,          9.4951e-05,          9.4951e-05
                  53,            0.023915,            0.012239,                   0,              0.9529,             0.91236,             0.95905,             0.65267,            0.020271,            0.011955,                   0,          9.4852e-05,          9.4852e-05,          9.4852e-05
