               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053389,            0.017157,                   0,             0.89223,             0.78588,             0.84992,             0.42754,            0.032229,            0.011932,                   0,            0.066727,          3.3306e-05,          3.3306e-05
                   1,            0.040679,            0.013698,                   0,             0.93514,             0.84804,             0.91282,             0.54498,            0.024842,           0.0099874,                   0,            0.033427,           6.658e-05,           6.658e-05
                   2,             0.03665,            0.012843,                   0,             0.93934,             0.87004,             0.92738,             0.57685,            0.023275,           0.0093864,                   0,          0.00012665,          9.9793e-05,          9.9793e-05
                   3,            0.034479,            0.012374,                   0,             0.93969,             0.88063,             0.93301,             0.58688,            0.022491,           0.0091196,                   0,           9.973e-05,           9.973e-05,           9.973e-05
                   4,            0.033485,            0.012116,                   0,             0.94613,               0.883,             0.93797,             0.60003,            0.022089,           0.0089401,                   0,           9.973e-05,           9.973e-05,           9.973e-05
                   5,            0.032591,            0.011929,                   0,             0.94813,             0.88725,             0.94067,             0.61022,            0.021613,           0.0087921,                   0,           9.964e-05,           9.964e-05,           9.964e-05
                   6,            0.032038,            0.011739,                   0,             0.94763,             0.88985,             0.94355,             0.61397,            0.021465,           0.0087069,                   0,           9.955e-05,           9.955e-05,           9.955e-05
                   7,            0.031558,            0.011676,                   0,             0.94923,             0.89113,              0.9446,             0.61845,             0.02129,           0.0086971,                   0,           9.946e-05,           9.946e-05,           9.946e-05
                   8,            0.031192,            0.011432,                   0,             0.94848,             0.89463,             0.94632,             0.62342,             0.02101,           0.0086245,                   0,           9.937e-05,           9.937e-05,           9.937e-05
                   9,            0.030977,            0.011439,                   0,             0.94837,             0.89911,             0.94706,             0.62444,            0.020925,           0.0085483,                   0,           9.928e-05,           9.928e-05,           9.928e-05
                  10,             0.03052,            0.011349,                   0,             0.94732,             0.90072,             0.94827,               0.629,            0.020785,           0.0085178,                   0,           9.919e-05,           9.919e-05,           9.919e-05
                  11,            0.030358,            0.011365,                   0,              0.9492,             0.90191,             0.95007,             0.63197,            0.020743,           0.0084799,                   0,            9.91e-05,            9.91e-05,            9.91e-05
                  12,            0.029834,            0.011238,                   0,             0.94992,             0.90256,             0.95109,             0.63403,            0.020682,           0.0084426,                   0,           9.901e-05,           9.901e-05,           9.901e-05
                  13,            0.029826,            0.011095,                   0,             0.94789,             0.90522,             0.95168,             0.63383,            0.020619,           0.0084115,                   0,           9.892e-05,           9.892e-05,           9.892e-05
                  14,            0.029731,            0.011061,                   0,             0.94813,             0.90498,              0.9517,             0.63632,            0.020599,            0.008414,                   0,           9.883e-05,           9.883e-05,           9.883e-05
                  15,             0.02954,             0.01103,                   0,             0.94708,             0.90659,             0.95243,             0.63727,            0.020507,           0.0083859,                   0,           9.874e-05,           9.874e-05,           9.874e-05
                  16,            0.029425,            0.011081,                   0,             0.95153,             0.90579,             0.95304,             0.63837,            0.020467,           0.0083699,                   0,           9.865e-05,           9.865e-05,           9.865e-05
                  17,            0.029231,            0.010997,                   0,             0.95234,             0.90338,             0.95333,             0.63876,            0.020494,           0.0083666,                   0,           9.856e-05,           9.856e-05,           9.856e-05
                  18,            0.029168,            0.010944,                   0,             0.95125,             0.90629,             0.95346,             0.64082,            0.020418,           0.0083551,                   0,           9.847e-05,           9.847e-05,           9.847e-05
                  19,            0.029063,              0.0109,                   0,             0.95065,             0.90919,             0.95424,             0.64132,            0.020396,           0.0083455,                   0,           9.838e-05,           9.838e-05,           9.838e-05
                  20,            0.028927,            0.010846,                   0,             0.95202,             0.90702,             0.95435,             0.64217,            0.020372,           0.0083387,                   0,           9.829e-05,           9.829e-05,           9.829e-05
                  21,            0.028767,            0.010727,                   0,             0.95318,             0.90696,             0.95484,              0.6428,            0.020345,           0.0083306,                   0,            9.82e-05,            9.82e-05,            9.82e-05
                  22,            0.028645,            0.010794,                   0,             0.95206,             0.90844,             0.95537,             0.64349,            0.020333,           0.0083236,                   0,           9.811e-05,           9.811e-05,           9.811e-05
                  23,            0.028521,            0.010789,                   0,             0.95196,             0.90807,             0.95542,             0.64424,            0.020308,           0.0083122,                   0,           9.802e-05,           9.802e-05,           9.802e-05
                  24,            0.028421,            0.010778,                   0,             0.95221,             0.90891,             0.95607,             0.64511,            0.020283,           0.0083006,                   0,           9.793e-05,           9.793e-05,           9.793e-05
                  25,            0.028274,            0.010691,                   0,               0.951,             0.90981,             0.95597,             0.64559,             0.02026,           0.0082952,                   0,           9.784e-05,           9.784e-05,           9.784e-05
                  26,            0.028332,            0.010747,                   0,             0.95028,             0.91113,             0.95635,             0.64591,            0.020245,           0.0082921,                   0,           9.775e-05,           9.775e-05,           9.775e-05
                  27,            0.028231,            0.010705,                   0,             0.95085,              0.9108,              0.9566,             0.64644,            0.020232,           0.0082888,                   0,           9.766e-05,           9.766e-05,           9.766e-05
                  28,            0.028048,            0.010621,                   0,              0.9506,             0.91106,             0.95684,             0.64662,            0.020226,           0.0082872,                   0,           9.757e-05,           9.757e-05,           9.757e-05
                  29,            0.028147,            0.010636,                   0,             0.94978,             0.91232,             0.95687,             0.64701,            0.020217,           0.0082853,                   0,           9.748e-05,           9.748e-05,           9.748e-05
                  30,            0.028111,            0.010726,                   0,             0.94954,             0.91218,             0.95677,             0.64727,            0.020208,           0.0082843,                   0,           9.739e-05,           9.739e-05,           9.739e-05
                  31,            0.028023,            0.010597,                   0,             0.95013,             0.91236,             0.95716,             0.64758,              0.0202,           0.0082811,                   0,            9.73e-05,            9.73e-05,            9.73e-05
                  32,            0.027993,            0.010614,                   0,             0.95067,             0.91198,             0.95746,             0.64809,            0.020192,           0.0082787,                   0,           9.721e-05,           9.721e-05,           9.721e-05
                  33,            0.027824,            0.010499,                   0,             0.95273,             0.90938,             0.95736,             0.64827,            0.020186,           0.0082774,                   0,           9.712e-05,           9.712e-05,           9.712e-05
                  34,            0.027831,            0.010593,                   0,             0.95257,             0.91009,             0.95738,             0.64838,            0.020181,           0.0082767,                   0,           9.703e-05,           9.703e-05,           9.703e-05
                  35,             0.02766,            0.010504,                   0,             0.95302,             0.90953,             0.95753,             0.64875,            0.020177,           0.0082762,                   0,           9.694e-05,           9.694e-05,           9.694e-05
                  36,            0.027794,             0.01056,                   0,             0.95334,             0.90934,             0.95768,               0.649,            0.020173,           0.0082757,                   0,           9.685e-05,           9.685e-05,           9.685e-05
                  37,            0.027599,            0.010419,                   0,             0.95232,             0.91065,             0.95813,             0.64947,            0.020167,           0.0082748,                   0,           9.676e-05,           9.676e-05,           9.676e-05
                  38,            0.027394,            0.010446,                   0,             0.95201,             0.91161,              0.9581,             0.64987,            0.020162,           0.0082723,                   0,           9.667e-05,           9.667e-05,           9.667e-05
                  39,            0.027517,            0.010486,                   0,             0.95162,             0.91258,             0.95811,             0.65009,            0.020156,           0.0082701,                   0,           9.658e-05,           9.658e-05,           9.658e-05
                  40,            0.027454,            0.010518,                   0,              0.9519,             0.91261,             0.95838,              0.6504,            0.020153,           0.0082702,                   0,           9.649e-05,           9.649e-05,           9.649e-05
                  41,            0.027389,            0.010518,                   0,             0.95208,             0.91274,             0.95853,             0.65085,            0.020148,           0.0082686,                   0,            9.64e-05,            9.64e-05,            9.64e-05
                  42,            0.027284,            0.010376,                   0,              0.9521,             0.91287,              0.9585,             0.65094,            0.020142,           0.0082676,                   0,           9.631e-05,           9.631e-05,           9.631e-05
                  43,            0.027253,            0.010258,                   0,             0.95241,             0.91243,             0.95875,             0.65109,            0.020139,           0.0082662,                   0,           9.622e-05,           9.622e-05,           9.622e-05
                  44,            0.027291,             0.01037,                   0,             0.95214,             0.91266,             0.95886,             0.65121,            0.020137,           0.0082655,                   0,           9.613e-05,           9.613e-05,           9.613e-05
                  45,            0.027232,            0.010464,                   0,             0.95292,             0.91231,             0.95894,             0.65136,            0.020132,           0.0082649,                   0,           9.604e-05,           9.604e-05,           9.604e-05
                  46,            0.027222,            0.010298,                   0,             0.95238,              0.9135,             0.95932,             0.65162,            0.020124,            0.008265,                   0,           9.595e-05,           9.595e-05,           9.595e-05
                  47,            0.027083,            0.010357,                   0,             0.95255,             0.91321,             0.95947,             0.65178,            0.020118,           0.0082651,                   0,           9.586e-05,           9.586e-05,           9.586e-05
                  48,            0.026962,            0.010233,                   0,             0.95214,             0.91355,             0.95947,             0.65194,            0.020112,           0.0082638,                   0,           9.577e-05,           9.577e-05,           9.577e-05
                  49,            0.027107,            0.010382,                   0,              0.9516,             0.91416,             0.95954,             0.65212,            0.020106,           0.0082623,                   0,           9.568e-05,           9.568e-05,           9.568e-05
                  50,            0.026957,            0.010226,                   0,             0.95222,             0.91343,             0.95958,             0.65222,            0.020103,           0.0082622,                   0,           9.559e-05,           9.559e-05,           9.559e-05
                  51,            0.026987,            0.010353,                   0,              0.9508,             0.91501,             0.95972,              0.6524,            0.020101,           0.0082624,                   0,            9.55e-05,            9.55e-05,            9.55e-05
                  52,             0.02694,             0.01026,                   0,             0.95043,             0.91494,             0.95953,             0.65263,            0.020099,           0.0082644,                   0,           9.541e-05,           9.541e-05,           9.541e-05
                  53,            0.026901,            0.010222,                   0,              0.9505,             0.91537,             0.95974,             0.65269,            0.020092,           0.0082635,                   0,           9.532e-05,           9.532e-05,           9.532e-05
                  54,            0.026776,            0.010185,                   0,             0.95029,             0.91577,             0.95992,             0.65288,            0.020089,            0.008264,                   0,           9.523e-05,           9.523e-05,           9.523e-05
                  55,            0.026754,            0.010202,                   0,             0.95204,             0.91388,             0.95996,             0.65287,            0.020091,           0.0082655,                   0,           9.514e-05,           9.514e-05,           9.514e-05
                  56,            0.026655,            0.010267,                   0,             0.95242,             0.91356,             0.96007,              0.6531,            0.020092,           0.0082664,                   0,           9.505e-05,           9.505e-05,           9.505e-05
                  57,            0.026692,            0.010233,                   0,             0.95251,             0.91352,             0.96028,             0.65322,            0.020091,           0.0082669,                   0,           9.496e-05,           9.496e-05,           9.496e-05
                  58,            0.026578,            0.010234,                   0,             0.95167,             0.91383,             0.96036,             0.65332,            0.020091,           0.0082682,                   0,           9.487e-05,           9.487e-05,           9.487e-05
                  59,            0.026761,            0.010197,                   0,             0.95177,             0.91416,             0.96054,             0.65352,            0.020091,           0.0082702,                   0,           9.478e-05,           9.478e-05,           9.478e-05
                  60,            0.026551,            0.010149,                   0,             0.95252,             0.91376,             0.96057,             0.65369,            0.020091,           0.0082727,                   0,           9.469e-05,           9.469e-05,           9.469e-05
                  61,            0.026519,            0.010103,                   0,             0.95283,             0.91336,             0.96065,             0.65363,            0.020089,           0.0082751,                   0,            9.46e-05,            9.46e-05,            9.46e-05
                  62,            0.026476,            0.010154,                   0,             0.95284,             0.91392,             0.96079,             0.65371,            0.020089,           0.0082775,                   0,           9.451e-05,           9.451e-05,           9.451e-05
                  63,            0.026465,            0.010137,                   0,              0.9529,             0.91388,             0.96081,             0.65382,            0.020088,           0.0082792,                   0,           9.442e-05,           9.442e-05,           9.442e-05
                  64,             0.02646,            0.010176,                   0,             0.95212,             0.91504,             0.96083,             0.65397,            0.020084,           0.0082808,                   0,           9.433e-05,           9.433e-05,           9.433e-05
                  65,            0.026399,            0.010143,                   0,             0.95206,             0.91475,             0.96079,             0.65411,            0.020084,           0.0082818,                   0,           9.424e-05,           9.424e-05,           9.424e-05
                  66,            0.026336,             0.01008,                   0,             0.95229,             0.91463,             0.96085,             0.65411,             0.02008,           0.0082821,                   0,           9.415e-05,           9.415e-05,           9.415e-05
