               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053356,            0.017188,                   0,             0.90068,               0.791,              0.8524,             0.40478,            0.034731,            0.011185,                   0,            0.066727,          3.3306e-05,          3.3306e-05
                   1,            0.040614,              0.0137,                   0,             0.93258,             0.84855,             0.91212,             0.54575,            0.024937,           0.0099451,                   0,            0.033427,           6.658e-05,           6.658e-05
                   2,            0.036653,            0.012851,                   0,             0.93786,             0.87155,             0.92755,             0.57919,            0.023337,           0.0093674,                   0,          0.00012665,          9.9793e-05,          9.9793e-05
                   3,            0.034532,            0.012399,                   0,             0.94421,             0.87246,             0.93177,             0.58851,            0.022393,           0.0091078,                   0,           9.973e-05,           9.973e-05,           9.973e-05
                   4,            0.033577,            0.012158,                   0,             0.94721,             0.87935,             0.93622,             0.60424,            0.021879,           0.0089314,                   0,           9.973e-05,           9.973e-05,           9.973e-05
                   5,            0.032694,            0.011982,                   0,             0.95072,             0.88415,             0.94097,             0.60672,            0.021595,           0.0088013,                   0,           9.964e-05,           9.964e-05,           9.964e-05
                   6,            0.032155,            0.011781,                   0,             0.94878,             0.88824,              0.9434,               0.613,            0.021507,           0.0087554,                   0,           9.955e-05,           9.955e-05,           9.955e-05
                   7,            0.031675,            0.011713,                   0,             0.94581,             0.89524,             0.94404,             0.62049,            0.021305,            0.008652,                   0,           9.946e-05,           9.946e-05,           9.946e-05
                   8,            0.031366,            0.011495,                   0,             0.94335,              0.8977,             0.94648,             0.62376,            0.020979,           0.0086232,                   0,           9.937e-05,           9.937e-05,           9.937e-05
                   9,            0.031152,            0.011507,                   0,             0.94816,             0.89786,             0.94693,             0.62464,            0.020938,           0.0085779,                   0,           9.928e-05,           9.928e-05,           9.928e-05
                  10,            0.030711,            0.011426,                   0,             0.94756,             0.89955,             0.94882,             0.62848,            0.020804,           0.0085445,                   0,           9.919e-05,           9.919e-05,           9.919e-05
                  11,            0.030558,             0.01145,                   0,             0.94938,             0.89931,             0.94944,              0.6311,            0.020736,           0.0084805,                   0,            9.91e-05,            9.91e-05,            9.91e-05
                  12,            0.030034,            0.011329,                   0,             0.94969,             0.89983,             0.95086,             0.63359,            0.020659,           0.0084513,                   0,           9.901e-05,           9.901e-05,           9.901e-05
                  13,             0.03003,            0.011187,                   0,             0.95054,             0.90349,             0.95155,             0.63326,            0.020624,            0.008426,                   0,           9.892e-05,           9.892e-05,           9.892e-05
                  14,            0.029976,            0.011144,                   0,             0.94572,             0.90541,             0.95203,             0.63676,            0.020581,           0.0084238,                   0,           9.883e-05,           9.883e-05,           9.883e-05
                  15,            0.029816,            0.011128,                   0,             0.94712,             0.90631,             0.95244,             0.63846,            0.020446,           0.0083903,                   0,           9.874e-05,           9.874e-05,           9.874e-05
                  16,            0.029713,            0.011206,                   0,             0.94879,             0.90494,             0.95302,             0.63865,            0.020455,            0.008382,                   0,           9.865e-05,           9.865e-05,           9.865e-05
                  17,            0.029518,            0.011123,                   0,             0.94903,             0.90787,             0.95448,              0.6401,            0.020414,           0.0083565,                   0,           9.856e-05,           9.856e-05,           9.856e-05
                  18,            0.029432,            0.011068,                   0,             0.95055,              0.9056,             0.95437,              0.6416,             0.02036,           0.0083502,                   0,           9.847e-05,           9.847e-05,           9.847e-05
                  19,            0.029364,            0.011036,                   0,             0.94942,             0.90664,             0.95463,             0.64208,            0.020341,           0.0083542,                   0,           9.838e-05,           9.838e-05,           9.838e-05
                  20,            0.029227,            0.010977,                   0,             0.94999,             0.90653,             0.95452,             0.64317,            0.020307,            0.008332,                   0,           9.829e-05,           9.829e-05,           9.829e-05
                  21,            0.029096,            0.010861,                   0,             0.94962,             0.90806,             0.95521,             0.64449,            0.020256,           0.0083136,                   0,            9.82e-05,            9.82e-05,            9.82e-05
                  22,            0.028961,            0.010918,                   0,             0.95007,             0.90782,             0.95544,             0.64491,            0.020239,           0.0083068,                   0,           9.811e-05,           9.811e-05,           9.811e-05
                  23,            0.028879,            0.010939,                   0,             0.94989,             0.90735,             0.95527,               0.646,            0.020219,           0.0082984,                   0,           9.802e-05,           9.802e-05,           9.802e-05
                  24,            0.028778,            0.010926,                   0,             0.95122,             0.90683,             0.95594,              0.6464,            0.020193,           0.0082901,                   0,           9.793e-05,           9.793e-05,           9.793e-05
                  25,            0.028623,            0.010838,                   0,             0.95094,             0.90752,             0.95631,             0.64688,            0.020176,           0.0082859,                   0,           9.784e-05,           9.784e-05,           9.784e-05
                  26,            0.028717,            0.010913,                   0,                0.95,             0.90849,             0.95661,             0.64695,            0.020171,           0.0082871,                   0,           9.775e-05,           9.775e-05,           9.775e-05
                  27,            0.028621,            0.010862,                   0,             0.94959,             0.90882,             0.95671,             0.64689,            0.020168,           0.0082865,                   0,           9.766e-05,           9.766e-05,           9.766e-05
                  28,            0.028433,            0.010784,                   0,             0.95032,             0.90886,             0.95669,             0.64722,            0.020152,           0.0082813,                   0,           9.757e-05,           9.757e-05,           9.757e-05
                  29,            0.028511,              0.0108,                   0,              0.9503,              0.9098,             0.95698,             0.64745,            0.020141,           0.0082776,                   0,           9.748e-05,           9.748e-05,           9.748e-05
                  30,            0.028515,            0.010898,                   0,             0.95035,             0.91069,             0.95704,             0.64771,            0.020129,           0.0082748,                   0,           9.739e-05,           9.739e-05,           9.739e-05
                  31,            0.028437,            0.010775,                   0,             0.95024,             0.91123,             0.95724,              0.6481,            0.020123,           0.0082706,                   0,            9.73e-05,            9.73e-05,            9.73e-05
                  32,            0.028412,            0.010799,                   0,             0.95034,             0.91138,             0.95722,             0.64837,            0.020112,           0.0082663,                   0,           9.721e-05,           9.721e-05,           9.721e-05
                  33,            0.028258,            0.010679,                   0,              0.9507,             0.91119,             0.95736,             0.64852,            0.020103,           0.0082635,                   0,           9.712e-05,           9.712e-05,           9.712e-05
                  34,            0.028286,            0.010772,                   0,             0.95114,             0.91147,             0.95743,             0.64902,            0.020095,           0.0082609,                   0,           9.703e-05,           9.703e-05,           9.703e-05
                  35,            0.028095,            0.010685,                   0,             0.95109,             0.91194,             0.95751,             0.64947,            0.020085,            0.008257,                   0,           9.694e-05,           9.694e-05,           9.694e-05
                  36,            0.028252,            0.010749,                   0,              0.9514,             0.91198,             0.95765,             0.64947,            0.020077,           0.0082537,                   0,           9.685e-05,           9.685e-05,           9.685e-05
                  37,            0.028092,            0.010614,                   0,             0.95132,             0.91217,             0.95794,              0.6499,            0.020072,           0.0082521,                   0,           9.676e-05,           9.676e-05,           9.676e-05
                  38,            0.027884,            0.010663,                   0,              0.9518,             0.91246,             0.95803,             0.65007,            0.020066,           0.0082497,                   0,           9.667e-05,           9.667e-05,           9.667e-05
                  39,            0.028001,            0.010696,                   0,             0.95127,             0.91315,             0.95822,             0.65013,            0.020062,           0.0082475,                   0,           9.658e-05,           9.658e-05,           9.658e-05
                  40,            0.027959,            0.010719,                   0,             0.95185,             0.91265,             0.95831,             0.65036,            0.020059,           0.0082459,                   0,           9.649e-05,           9.649e-05,           9.649e-05
                  41,            0.027902,            0.010728,                   0,             0.95203,             0.91293,             0.95845,             0.65055,            0.020052,           0.0082434,                   0,            9.64e-05,            9.64e-05,            9.64e-05
                  42,            0.027777,            0.010583,                   0,             0.95214,             0.91232,             0.95836,             0.65083,            0.020047,           0.0082431,                   0,           9.631e-05,           9.631e-05,           9.631e-05
                  43,            0.027772,            0.010474,                   0,             0.95232,             0.91252,              0.9586,             0.65078,             0.02004,           0.0082422,                   0,           9.622e-05,           9.622e-05,           9.622e-05
                  44,            0.027818,            0.010595,                   0,             0.95254,             0.91214,             0.95855,             0.65111,            0.020034,           0.0082402,                   0,           9.613e-05,           9.613e-05,           9.613e-05
                  45,            0.027772,            0.010696,                   0,             0.95269,              0.9123,             0.95888,             0.65149,            0.020029,           0.0082395,                   0,           9.604e-05,           9.604e-05,           9.604e-05
                  46,            0.027752,            0.010523,                   0,             0.95275,             0.91259,               0.959,             0.65173,            0.020022,           0.0082384,                   0,           9.595e-05,           9.595e-05,           9.595e-05
                  47,            0.027651,            0.010594,                   0,             0.95302,             0.91248,             0.95907,             0.65182,            0.020016,           0.0082367,                   0,           9.586e-05,           9.586e-05,           9.586e-05
                  48,            0.027569,            0.010468,                   0,             0.95278,             0.91279,             0.95922,             0.65207,            0.020014,           0.0082368,                   0,           9.577e-05,           9.577e-05,           9.577e-05
                  49,            0.027679,             0.01062,                   0,             0.95266,             0.91331,              0.9591,             0.65214,            0.020011,           0.0082372,                   0,           9.568e-05,           9.568e-05,           9.568e-05
