               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083413,            0.035119,                   0,             0.47072,             0.38129,             0.36307,              0.1373,            0.049139,            0.028317,                   0,            0.066727,          3.3307e-05,          3.3307e-05
                   1,            0.057956,            0.026242,                   0,             0.85736,             0.67267,             0.75381,             0.35763,            0.037344,            0.019326,                   0,            0.033427,          6.6574e-05,          6.6574e-05
                   2,            0.048966,            0.022208,                   0,             0.90113,             0.74182,             0.82884,             0.43831,            0.032342,            0.017106,                   0,          0.00012657,          9.9775e-05,          9.9775e-05
                   3,             0.04349,            0.020113,                   0,             0.92139,             0.79156,             0.86702,             0.48156,            0.029696,            0.016005,                   0,          9.9703e-05,          9.9703e-05,          9.9703e-05
                   4,            0.040923,             0.01929,                   0,              0.9266,             0.81276,             0.88262,             0.50142,            0.028206,             0.01529,                   0,          9.9703e-05,          9.9703e-05,          9.9703e-05
                   5,            0.039018,              0.0185,                   0,             0.92807,             0.82539,             0.89225,             0.51502,            0.027183,            0.014814,                   0,          9.9604e-05,          9.9604e-05,          9.9604e-05
                   6,            0.037882,            0.017915,                   0,             0.92925,             0.83319,             0.89832,             0.52392,            0.026532,            0.014455,                   0,          9.9505e-05,          9.9505e-05,          9.9505e-05
                   7,            0.036755,            0.017564,                   0,             0.92979,             0.84058,             0.90276,             0.53106,            0.026002,            0.014194,                   0,          9.9406e-05,          9.9406e-05,          9.9406e-05
                   8,            0.035953,            0.017319,                   0,             0.93633,             0.84241,             0.90739,             0.54015,            0.025532,            0.013984,                   0,          9.9307e-05,          9.9307e-05,          9.9307e-05
                   9,            0.035531,            0.017037,                   0,             0.93308,             0.84804,             0.90974,             0.54602,            0.025078,            0.013825,                   0,          9.9208e-05,          9.9208e-05,          9.9208e-05
                  10,            0.034839,            0.016816,                   0,             0.93673,             0.85003,             0.91305,             0.55053,            0.024782,             0.01368,                   0,          9.9109e-05,          9.9109e-05,          9.9109e-05
